row,project_uid,primary_investigator_uid,creation_date,assigned_to
2113,2220,245,3/7/2020,
2114,2221,245,3/9/2020,
2115,2222,312,3/9/2020,
2116,2223,312,3/9/2020,
2117,2224,245,3/9/2020,
2118,2225,118,3/9/2020,
2119,2226,176,3/9/2020,
2120,2227,315,3/9/2020,
2121,2228,245,3/10/2020,
2122,2229,272,3/11/2020,
2123,2230,113,3/11/2020,NULL
2124,2231,248,3/9/2020,
2125,2232,245,3/16/2020,
2126,2233,245,3/17/2020,
2127,2234,272,3/18/2020,
2128,2235,320,3/18/2020,
2129,2236,245,4/1/2020,
2130,2237,245,4/3/2020,
2131,2238,245,4/15/2020,
2132,2239,294,4/17/2020,
2133,2240,294,4/22/2020,
2134,2241,245,4/22/2020,
2135,2242,245,4/25/2020,
2136,2243,294,4/28/2020,
2137,2244,15,4/30/2020,
2138,2245,294,5/1/2020,
2139,2246,294,5/4/2020,
2140,2248,245,5/4/2020,
2141,2249,15,5/6/2020,
2142,2250,294,5/7/2020,
2143,2251,300,5/11/2020,
2144,2252,294,5/11/2020,
2145,2253,245,5/12/2020,
2146,2255,322,5/13/2020,NULL
2147,2256,245,5/12/2020,
2148,2257,245,3/6/2020,NULL
2149,2258,245,5/14/2020,
2150,2259,294,5/14/2020,
2151,2260,113,5/14/2020,core
2152,2261,15,5/14/2020,
2153,2262,235,5/19/2020,
2154,2263,15,5/21/2020,NULL
2155,2264,294,5/26/2020,NULL
2156,2265,244,5/29/2020,
2157,2266,68,5/29/2020,
2158,2267,7,3/2/2020,
2159,2268,324,6/1/2020,
2160,2269,245,6/1/2020,NULL
2161,2270,294,6/4/2020,NULL
2162,2271,118,6/5/2020,
2163,2272,245,6/8/2020,NULL
2164,2273,15,6/8/2020,NULL
2165,2274,272,6/10/2020,NULL
2166,2275,283,6/12/2020,
2167,2276,294,6/12/2020,NULL
2168,2277,245,6/13/2020,
2169,2278,245,6/15/2020,NULL
2170,2279,245,6/15/2020,NULL
2171,2280,86,6/16/2020,
2172,2281,245,6/16/2020,NULL
2173,2282,245,6/17/2020,NULL
2174,2283,234,6/17/2020,
2175,2284,163,6/17/2020,
2176,2285,272,6/18/2020,NULL
2177,2286,245,6/18/2020,
2178,2287,294,6/20/2020,
2179,2288,245,6/22/2020,
2180,2289,248,6/23/2020,
2181,2290,245,6/24/2020,
2182,2291,245,6/25/2020,NULL
2183,2292,15,6/25/2020,NULL
2184,2293,294,6/26/2020,
2185,2294,15,6/26/2020,NULL
2186,2295,294,6/27/2020,
2187,2296,245,6/29/2020,
2188,2297,245,6/30/2020,
2189,2298,248,7/1/2020,
2190,2299,245,7/1/2020,
2191,2300,312,7/1/2020,
2192,2301,245,7/2/2020,
2193,2302,294,7/3/2020,
2194,2303,66,7/4/2020,
2195,2304,326,7/4/2020,
2196,2305,66,7/4/2020,
2197,2306,15,7/2/2020,
2198,2307,248,7/6/2020,
2199,2308,245,7/7/2020,
2200,2309,245,7/7/2020,
2201,2310,105,7/7/2020,user prep
2202,2311,132,7/8/2020,
2203,2312,248,7/10/2020,
2204,2313,122,7/10/2020,
2205,2314,294,7/11/2020,NULL
2206,2315,245,7/13/2020,
2207,2316,294,7/14/2020,NULL
2208,2317,15,7/14/2020,
2209,2318,245,7/15/2020,
2210,2319,245,7/16/2020,
2211,2320,66,7/16/2020,
2212,2321,294,7/17/2020,NULL
2213,2322,15,7/21/2020,
2214,2323,166,7/21/2020,
2215,2324,245,7/22/2020,
2216,2325,122,7/24/2020,core
2217,2326,294,7/24/2020,
2218,2327,48,7/27/2020,
2219,2328,312,7/28/2020,
2220,2329,113,7/29/2020,
2221,2330,77,7/29/2020,NULL
2222,2331,248,7/30/2020,
2223,2332,15,7/30/2020,
2224,2334,319,7/30/2020,
2225,2335,15,7/30/2020,
2226,2336,303,7/31/2020,
2227,2337,245,8/3/2020,
2228,2338,77,8/3/2020,NULL
2229,2339,245,8/3/2020,
2230,2340,79,8/5/2020,
2231,2341,68,8/5/2020,
2232,2342,248,8/6/2020,
2233,2343,245,8/6/2020,
2234,2344,15,8/7/2020,NULL
2235,2345,294,8/7/2020,
2236,2346,163,8/10/2020,
2237,2347,245,8/10/2020,
2238,2348,245,8/10/2020,
2239,2349,15,8/11/2020,
2240,2350,298,8/11/2020,
2241,2351,327,8/11/2020,NULL
2242,2352,248,8/12/2020,
2243,2353,245,8/12/2020,
2244,2354,245,8/13/2020,
2245,2355,272,8/13/2020,
2246,2356,245,8/14/2020,
2247,2357,294,8/15/2020,
2248,2358,163,8/17/2020,
2249,2359,15,8/17/2020,
2250,2360,245,8/17/2020,
2251,2361,15,8/18/2020,
2252,2362,119,8/19/2020,
2253,2363,15,8/20/2020,
2254,2364,15,8/20/2020,
2255,2365,15,8/20/2020,
2256,2366,245,8/21/2020,
2257,2367,248,8/25/2020,NULL
2258,2368,248,8/25/2020,NULL
2259,2369,245,8/28/2020,
2260,2370,294,8/28/2020,NULL
2261,2371,245,8/28/2020,
2262,2372,283,8/31/2020,
2263,2373,15,9/1/2020,NULL
2264,2374,15,9/1/2020,
2265,2375,329,9/1/2020,user prep
2266,2376,330,9/3/2020,NULL
2267,2377,15,9/3/2020,
2268,2378,15,9/3/2020,NULL
2269,2379,299,9/4/2020,NULL
2270,2380,312,9/4/2020,
2271,2381,294,9/5/2020,NULL
2272,2382,194,9/9/2020,
2273,2383,248,8/10/2020,
2274,2384,248,8/3/2020,
2275,2385,298,9/10/2020,NULL
2276,2386,312,9/11/2020,
2277,2387,132,9/7/2020,
2278,2388,245,9/14/2020,
2279,2389,245,9/14/2020,
2280,2390,51,9/11/2020,
2281,2391,331,9/14/2020,
2282,2392,294,9/15/2020,
2283,2393,248,9/14/2020,
2284,2394,248,9/16/2020,
2285,2395,68,9/18/2020,
2286,2396,15,9/21/2020,
2287,2397,122,9/22/2020,core
2288,2398,245,9/22/2020,
2289,2399,245,9/24/2020,
2290,2400,245,9/27/2020,
2291,2401,245,9/28/2020,NULL
2292,2402,245,9/28/2020,
2293,2403,113,9/29/2020,NULL
2294,2404,245,9/29/2020,
2295,2406,294,9/29/2020,NULL
2296,2407,123,9/29/2020,NULL
2297,2408,245,9/30/2020,
2298,2409,245,10/1/2020,
2299,2410,163,10/1/2020,NULL
2300,2411,194,10/1/2020,NULL
2301,2412,245,10/2/2020,
2302,2413,248,10/2/2020,NULL
2303,2414,245,10/5/2020,
2304,2415,15,10/6/2020,
2305,2416,15,10/6/2020,
2306,2417,245,10/7/2020,
2307,2418,329,10/7/2020,user prep
2308,2419,329,10/7/2020,user prep
2309,2420,245,10/8/2020,NULL
2310,2421,294,10/10/2020,NULL
2311,2422,248,10/7/2020,NULL
2312,2423,245,10/14/2020,
2313,2424,272,10/15/2020,NULL
2314,2425,294,10/16/2020,NULL
2315,2426,245,10/19/2020,NULL
2316,2427,272,10/20/2020,NULL
2317,2428,122,10/20/2020,core
2318,2429,149,10/20/2020,
2319,2430,119,10/21/2020,
2320,2431,105,10/21/2020,
2321,2432,66,10/22/2020,NULL
2322,2433,105,10/22/2020,
2323,2434,105,10/22/2020,user prep
2324,2435,294,10/23/2020,
2325,2436,122,10/27/2020,
2326,2437,245,10/28/2020,NULL
2327,2438,105,10/28/2020,
2328,2439,164,10/28/2020,core
2329,2441,248,10/29/2020,
2330,2442,248,10/29/2020,
2331,2443,105,11/2/2020,
2332,2444,294,11/3/2020,
2333,2445,68,11/4/2020,
2334,2446,119,11/4/2020,
2335,2447,194,11/5/2020,
2336,2448,329,11/5/2020,user prep
2337,2449,51,11/9/2020,
2338,2450,245,11/9/2020,
2339,2451,15,11/10/2020,
2340,2452,36,11/12/2020,
2341,2453,294,11/14/2020,NULL
2342,2454,15,11/16/2020,
2343,2455,333,11/17/2020,
2344,2456,68,11/17/2020,
2345,2457,119,11/18/2020,
2346,2458,245,11/19/2020,NULL
2347,2459,245,11/20/2020,NULL
2348,2460,17,11/20/2020,
2349,2461,294,11/21/2020,
2350,2463,337,11/24/2020,
2351,2464,329,11/24/2020,user prep
2352,2465,331,11/24/2020,NULL
2353,2466,333,11/24/2020,
2354,2468,123,11/25/2020,
2355,2469,335,12/1/2020,
2356,2470,15,12/2/2020,
2357,2471,245,12/2/2020,NULL
2358,2472,194,12/2/2020,
2359,2473,15,12/3/2020,
2360,2474,294,12/4/2020,NULL
2361,2475,245,12/7/2020,
2362,2476,336,12/9/2020,
2363,2477,248,12/11/2020,
2364,2478,122,12/9/2020,core
2365,2479,248,12/11/2020,
2366,2480,245,12/11/2020,
2367,2481,248,12/11/2020,NULL
2368,2484,105,12/11/2020,
2369,2485,294,12/12/2020,
2370,2486,66,12/15/2020,
2371,2487,333,12/21/2020,NULL
2372,2488,15,12/18/2020,
2373,2489,15,12/18/2020,
2374,2490,294,12/19/2020,NULL
2375,2491,245,12/21/2020,NULL
2376,2492,245,12/21/2020,
2377,2494,244,12/21/2020,core
2378,2495,17,12/21/2020,
2379,2496,294,12/22/2020,NULL
2380,2497,15,12/23/2020,
2381,2498,198,12/24/2020,
2382,2499,105,12/24/2020,
2383,2500,15,12/24/2020,
2384,2501,118,12/28/2020,
2385,2502,198,12/29/2020,NULL
2386,2503,132,12/29/2020,user prep
2387,2504,245,1/5/2021,
2388,2505,245,1/5/2021,NULL
2389,2506,51,1/5/2021,
2390,2507,294,1/6/2021,NULL
2391,2508,15,1/6/2021,
2392,2509,245,1/8/2021,
2393,2510,245,1/8/2021,NULL
2394,2511,294,1/8/2021,NULL
2395,2512,245,1/11/2021,
2396,2513,245,1/12/2021,
2397,2514,245,1/13/2021,
2398,2515,77,1/14/2021,user prep
2399,2516,294,1/15/2021,
2400,2517,245,1/21/2021,
2401,2518,66,1/21/2021,
2402,2519,66,1/21/2021,
2403,2520,66,1/21/2021,
2404,2521,333,1/22/2021,
2405,2522,15,1/25/2021,
2406,2523,171,1/26/2021,
2407,2524,36,1/28/2021,
2408,2525,329,1/28/2021,user prep
2409,2526,245,1/29/2021,
2410,2527,283,1/29/2021,
2411,2529,15,2/1/2021,
2412,2530,51,2/2/2021,
2413,2531,338,2/2/2021,
2414,2532,132,2/2/2021,NULL
2415,2533,66,2/2/2021,
2416,2536,245,2/5/2021,
2417,2537,245,2/8/2021,
2418,2538,245,2/9/2021,
2419,2539,245,2/11/2021,
2420,2540,245,2/11/2021,
2421,2541,198,2/16/2021,
2422,2542,68,2/16/2021,
2423,2543,245,2/17/2021,
2424,2544,166,2/18/2021,
2425,2545,245,2/18/2021,
2426,2546,244,2/18/2021,
2427,2547,234,2/18/2021,
2428,2548,132,2/19/2021,user prep
2429,2549,118,2/19/2021,
2430,2550,245,2/22/2021,
2431,2551,340,2/26/2021,
2432,2552,329,3/2/2021,
2433,2553,51,3/5/2021,
2434,2554,302,3/8/2021,
2435,2555,194,3/10/2021,
2436,2556,168,3/11/2021,
2437,2557,245,3/12/2021,
2438,2558,36,3/15/2021,
2439,2559,245,3/18/2021,
2440,2560,105,3/18/2021,
2441,2561,132,3/18/2021,NULL
2442,2562,163,3/22/2021,NULL
2443,2563,164,3/22/2021,
2444,2564,198,3/22/2021,
2445,2565,122,3/23/2021,
2446,2566,208,3/23/2021,
2447,2567,49,3/23/2021,NULL
2448,2568,208,3/23/2021,NULL
2449,2569,248,3/24/2021,
2450,2570,245,3/26/2021,
2451,2571,105,3/22/2021,
2452,2572,15,3/29/2021,
2453,2573,326,3/30/2021,
2454,2574,68,3/30/2021,
2455,2575,122,4/2/2021,NULL
2456,2576,248,4/2/2021,
2457,2577,329,4/5/2021,
2458,2578,329,4/5/2021,
2459,2579,329,4/5/2021,
2460,2580,66,4/6/2021,NULL
2461,2582,248,4/6/2021,NULL
2462,2583,66,4/6/2021,NULL
2463,2585,245,4/6/2021,
2464,2586,198,3/25/2021,
2465,2587,245,4/7/2021,
2466,2588,15,4/8/2021,
2467,2589,122,4/12/2021,NULL
2468,2590,49,4/14/2021,
2469,2591,245,4/15/2021,
2470,2592,309,4/15/2021,NULL
2471,2593,312,6/8/2021,NULL
2472,2594,317,4/19/2021,
2473,2595,329,4/19/2021,NULL
2474,2596,66,4/20/2021,NULL
2475,2597,342,4/20/2021,NULL
2476,2598,132,4/20/2021,NULL
2477,2599,248,4/20/2021,NULL
2478,2600,119,4/20/2021,NULL
2479,2601,171,4/20/2021,NULL
2480,2602,245,4/21/2021,NULL
2481,2603,163,4/22/2021,NULL
2482,2604,51,4/22/2021,NULL
2483,2605,329,4/22/2021,NULL
2484,2606,198,4/23/2021,NULL
2485,2607,248,4/23/2021,NULL
2486,2608,208,4/27/2021,NULL
2487,2609,66,4/27/2021,NULL
2488,2610,343,4/29/2021,NULL
2489,2611,15,5/3/2021,NULL
2490,2612,119,5/3/2021,NULL
2491,2613,122,5/3/2021,NULL
2492,2614,248,5/3/2021,NULL
2493,2616,248,5/4/2021,NULL
2494,2617,295,5/4/2021,NULL
2495,2618,338,5/13/2021,NULL
2496,2619,283,5/14/2021,NULL
2497,2620,305,5/14/2021,NULL
2498,2621,305,5/14/2021,NULL
2499,2622,15,5/17/2021,NULL
2500,2623,309,5/18/2021,NULL
2501,2624,198,5/18/2021,NULL
2502,2625,198,5/19/2021,NULL
2503,2626,248,5/19/2021,NULL
2504,2627,166,5/25/2021,NULL
2505,2628,340,5/25/2021,NULL
2506,2629,77,5/26/2021,NULL
2507,2630,320,5/26/2021,NULL
2508,2631,15,5/27/2021,NULL
2509,2632,248,5/28/2021,NULL
2510,2633,198,5/28/2021,NULL
2511,2634,326,6/7/2021,NULL
2512,2636,248,6/9/2021,NULL
2513,2637,51,6/9/2021,NULL
2514,2638,302,6/9/2021,NULL
2515,2639,66,6/10/2021,NULL
2516,2640,86,6/11/2021,NULL
2517,2641,344,6/11/2021,NULL
2518,2642,194,6/14/2021,NULL
2519,2643,122,6/14/2021,NULL
2520,2644,198,6/15/2021,NULL
2521,2645,66,6/21/2021,NULL
2522,2647,15,6/22/2021,NULL
2523,2648,194,6/22/2021,NULL
2524,2650,345,6/23/2021,NULL
2525,2651,66,6/23/2021,NULL
2526,2652,15,6/28/2021,NULL
2527,2653,309,6/29/2021,NULL
2528,2654,105,7/2/2021,NULL
2529,2655,51,7/6/2021,NULL
2530,2656,122,7/6/2021,NULL
2531,2657,163,7/8/2021,NULL
2532,2658,248,7/8/2021,NULL
2533,2659,171,7/12/2021,NULL
2534,2660,326,7/13/2021,NULL
2535,2662,163,7/15/2021,NULL
2536,2663,122,7/15/2021,NULL
2537,2664,122,7/19/2021,NULL
2538,2665,122,7/22/2021,NULL
2539,2666,15,7/22/2021,NULL
2540,2667,86,7/22/2021,NULL
2541,2668,344,7/22/2021,NULL
2542,2669,51,7/26/2021,NULL
2543,2671,119,7/26/2021,NULL
2544,2672,49,7/27/2021,NULL
2545,2673,119,7/27/2021,NULL
2546,2674,122,8/3/2021,NULL
2547,2675,51,8/3/2021,NULL
2548,2676,105,8/3/2021,NULL
2549,2677,194,8/5/2021,NULL
2550,2678,15,8/5/2021,NULL
2551,2679,346,8/10/2021,NULL
2552,2680,15,8/10/2021,NULL
2553,2682,15,8/12/2021,NULL
2554,2683,309,8/16/2021,NULL
2555,2684,346,8/17/2021,NULL
2556,2685,15,8/17/2021,NULL
2557,2686,347,8/17/2021,NULL
2558,2687,348,8/17/2021,NULL
2559,2688,171,8/18/2021,NULL
2560,2689,347,8/19/2021,NULL
2561,2690,15,8/23/2021,NULL
2562,2691,86,8/23/2021,NULL
2563,2692,349,8/24/2021,NULL
2564,2693,350,8/30/2021,NULL
2565,2694,119,9/1/2021,NULL
2566,2695,248,9/1/2021,NULL
2567,2696,194,9/1/2021,NULL
2568,2697,51,9/1/2021,NULL
2569,2698,51,9/1/2021,NULL
2570,2699,166,9/1/2021,NULL
2571,2700,15,9/2/2021,NULL
2572,2701,335,9/2/2021,NULL
2573,2702,198,9/8/2021,NULL
2574,2703,248,9/8/2021,NULL
2575,2704,350,9/9/2021,NULL
2576,2705,15,9/13/2021,NULL
2577,2706,279,9/13/2021,NULL
2578,2707,105,9/13/2021,NULL
2579,2708,15,9/15/2021,NULL
2580,2709,15,9/16/2021,NULL
2581,2710,136,9/16/2021,NULL
2582,2711,194,9/22/2021,NULL
2583,2712,347,9/27/2021,NULL
2584,2713,248,9/28/2021,NULL
2585,2714,122,9/28/2021,NULL
2586,2715,51,9/28/2021,NULL
2587,2716,66,9/28/2021,NULL
2588,2717,66,9/28/2021,NULL
2589,2718,66,9/28/2021,NULL
2590,2719,234,9/29/2021,NULL
2591,2720,234,9/29/2021,NULL
2592,2721,348,9/30/2021,NULL
2593,2722,122,10/4/2021,NULL
2594,2723,51,10/6/2021,NULL
2595,2724,248,10/6/2021,NULL
2596,2725,68,10/6/2021,NULL
2597,2726,105,10/6/2021,NULL
2598,2727,248,10/6/2021,NULL
2599,2728,346,10/6/2021,NULL
2600,2729,15,10/11/2021,NULL
2601,2730,122,10/12/2021,NULL
2602,2731,51,10/12/2021,NULL
2603,2733,17,10/14/2021,NULL
2604,2734,345,10/18/2021,NULL
2605,2735,347,9/27/2021,NULL
2606,2736,305,10/11/2021,NULL
2607,2737,305,10/15/2021,NULL
2608,2738,15,10/19/2021,NULL
2609,2739,349,10/27/2021,NULL
2610,2740,335,10/29/2021,NULL
2611,2741,346,11/1/2021,NULL
2612,2742,66,11/1/2021,NULL
2613,2743,15,11/3/2021,NULL
2614,2744,346,11/3/2021,NULL
2615,2745,66,11/4/2021,NULL
2616,2746,122,11/8/2021,NULL
2617,2747,105,11/11/2021,NULL
2618,2748,351,11/12/2021,NULL
2619,2749,347,11/16/2021,NULL
2620,2750,86,11/16/2021,NULL
2621,2751,234,11/18/2021,NULL
2622,2752,347,11/19/2021,NULL
2623,2753,335,11/19/2021,NULL
2624,2754,352,11/19/2021,NULL
2625,2755,346,11/19/2021,NULL
2626,2756,163,11/19/2021,NULL
2627,2758,164,11/29/2021,NULL
2628,2759,119,11/30/2021,NULL
2629,2760,51,11/30/2021,NULL
2630,2761,312,11/30/2021,NULL
2631,2762,51,11/30/2021,NULL
2632,2763,51,11/30/2021,NULL
2633,2764,132,11/30/2021,NULL
2634,2765,15,12/1/2021,NULL
2635,2766,68,12/1/2021,NULL
2636,2767,51,12/1/2021,NULL
2637,2768,312,12/2/2021,NULL
2638,2769,122,12/3/2021,NULL
2639,2770,51,12/3/2021,NULL
2640,2771,305,12/6/2021,NULL
2641,2772,66,12/6/2021,NULL
2642,2773,346,12/6/2021,NULL
2643,2774,353,12/7/2021,NULL
2644,2775,15,12/8/2021,NULL
2645,2776,347,12/9/2021,NULL
2646,2777,15,12/16/2021,NULL
2647,2778,248,12/15/2021,NULL
2648,2779,105,12/15/2021,NULL
2649,2780,248,12/15/2021,NULL
2650,2781,347,12/16/2021,NULL
2651,2782,66,12/22/2021,NULL
2652,2783,346,12/22/2021,NULL
2653,2784,335,12/22/2021,NULL
2654,2785,15,1/4/2022,NULL
2655,2786,346,1/10/2022,NULL
2656,2787,66,1/10/2022,NULL
2657,2788,122,1/10/2022,NULL
2658,2789,66,1/11/2022,NULL
2659,2790,15,1/12/2022,NULL
2660,2791,316,1/13/2022,NULL
2661,2792,149,1/13/2022,NULL
2662,2793,105,1/13/2022,NULL
2663,2794,122,1/13/2022,NULL
2664,2795,347,1/19/2022,NULL
2665,2796,66,1/19/2022,NULL
2666,2797,346,1/20/2022,NULL
